Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Œufs blancs frais,N°1,Le plateau de 15 oeufs,"6,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6199009000327-1_4.jpg
Œufs Ovolina frais jaune orange,OVOLINA,Le plateau de 30 Œufs À conserver dans un endroit frais et à l’abri des mauvaises odeurs,"13,170",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191314600025_1.jpg
Œufs frais omega 3,OVOLINA,Le plateau de 30 Œufs,"16,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191314600124.jpg
Œufs frais jaune ovolina,OVOLINA,Le plateau de 30 Œufs,"13,170",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191314600018.jpg
Œufs Les brunes CHAHIA,CHAHIA,Le paquet de 6,"4,240",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542030465_2_1.jpg
Œufs les brunes CHAHIA,CHAHIA,Le paquet de 15,"8,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542030458_2.jpg
Œufs Les brunes CHAHIA,CHAHIA,Le paquet de 30 Oeufs,"16,590",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542030441_.jpg
Œufs frais jaune-orange,N°1,Le plateau de 30 oeufs,"13,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6199009004011.jpg
Œufs de caille,CHAHIA,Le plateau de 12 pièces,"6,140",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542030274.jpg
La boite de 10 Œufs,,La boite de 10 Œufs + 2 gratuits,"14,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2020200028862.jpg
Œufs omiva,CHAHIA,Le plateau de 30 pièces,"17,590",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542000871.jpg
Œufs omiva,CHAHIA,Le plateau de 15 œufs,"9,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542030007.jpg
Œufs frais,N°1,Le plateau de 30 œufs,"13,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6199009000310-1_2.jpg
Œufs Ovita,EL MAZRAA,Le plateau de 30 œufs,"17,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191597900010-1.jpg
Œufs frais Oméga 3,CHAHIA,Le plateau de 30 œufs,"17,390",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542000741.jpg
Œufs fermiers,EL MAZRAA,Le plateau de 30 œufs,"24,490",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191597900201-1.jpg
Œufs fermiers,EL MAZRAA,Le plateau de 15 œufs,"12,890",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191597900218-1.jpg
Œufs frais Oméga 3,EL MAZRAA,Le plateau de 30 œufs,"16,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191519300300-1_.jpg
Œufs frais jaune Adhayma,CHAHIA,Le plateau de 30 oeufs,"13,440",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542001151-1_1.jpg
Œufs frais Oméga 3,EL MAZRAA,La boite de 6 oeufs,"4,240",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191530300068-1_1.jpg
Œufs frais Oméga 3,CHAHIA,Le plateau de 15 oeufs,"8,540",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542000734-1.jpg
Œufs frais jaune orange+,CHAHIA,Le plateau de 30 oeufs,"14,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542000161-1.jpg
Œufs fermiers frais rustiques,LE COQ FERMIER,La boite de 10 oeufs,"12,950",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2020200021801-1.jpg
Œufs fermiers frais rustiques,LE COQ FERMIER,La boite de 6 oeufs,"7,950",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2020200021818-1.jpg
Œufs frais good morning,CHAHIA,Le plateau de 30 oeufs,"14,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542600309-1_1.jpg
Œufs frais adhayma EL BRIKA,EL MAZRAA,Le plateau de 30 oeufs,"13,350",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191597900065-1_1.jpg
Œufs frais Ovita,EL MAZRAA,Le plateau de 15 oeufs,"6,090",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191597900027-1_1.jpg
Œufs frais Oméga 3,EL MAZRAA,Le plateau de 15 oeufs,"10,160",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191519300218-1_2.jpg
Œufs frais jaune orange+,EL MAZRAA,Le plateau de 6 oeufs,"3,380",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542000147__0.jpg
Œufs frais jaune orange+,CHAHIA,Le plateau de 15 oeufs,"8,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542000154-1_1.jpg
Œufs frais jaune orange+,EL MAZRAA,Le plateau de 15 oeufs,"8,075",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191519300065-1_3.jpg
Œufs frais jaune orange+,EL MAZRAA,Le plateau de 30 oeufs,"14,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191519300027-1_1.jpg
